,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,FCFPS,ROIC
0,0,0,0,0,0,0,0,0,0,2009-12,0.0,15.89
1,1,1,1,1,1,1,1,1,1,2010-12,0.77,7.78
2,2,2,2,2,2,2,2,2,2,2011-12,2.35,10.33
3,3,3,3,3,3,3,3,3,3,2012-12,1.52,4.14
4,4,4,4,4,4,4,4,4,4,2013-12,2.67,5.57
5,5,5,5,5,5,5,5,5,5,2014-12,0.65,-0.44
6,6,6,6,6,6,6,6,6,6,2015-12,0.82,0.68
7,7,7,7,7,7,7,7,7,7,2016-12,-0.77,-34.82
8,8,8,8,8,8,8,8,8,8,2017-12,-1.89,-4.19
9,9,9,9,9,9,9,9,9,9,2018-12,-1.78,-33.98
10,10,10,10,10,10,10,10,10,10,TTM,0.0,-44.67
