,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1,FCFPS,ROIC
0,0,0,0,0,0,0,0,0,0,0,0,2009-12,0.0,-0.47
1,1,1,1,1,1,1,1,1,1,1,1,2010-12,5.03,12.04
2,2,2,2,2,2,2,2,2,2,2,2,2011-12,5.83,13.9
3,3,3,3,3,3,3,3,3,3,3,3,2012-12,-2.63,5.24
4,4,4,4,4,4,4,4,4,4,4,4,2013-12,-3.65,5.39
5,5,5,5,5,5,5,5,5,5,5,5,2014-12,-5.99,-13.26
6,6,6,6,6,6,6,6,6,6,6,6,2015-12,-11.14,-94.46
7,7,7,7,7,7,7,7,7,7,7,7,2016-12,-1.6,-8.45
8,8,8,8,8,8,8,8,8,8,8,8,2017-12,0.24,9.84
9,9,9,9,9,9,9,9,9,9,9,9,2018-12,-0.51,2.01
10,10,10,10,10,10,10,10,10,10,10,10,TTM,0.0,-4.45
