,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,FCFPS,ROIC
0,0,0,0,0,0,0,0,0,0,0,2010-09,2.26,11.82
1,1,1,1,1,1,1,1,1,1,1,2011-09,1.85,13.09
2,2,2,2,2,2,2,2,2,2,2,2012-09,1.47,11.39
3,3,3,3,3,3,3,3,3,3,3,2013-09,0.55,8.76
4,4,4,4,4,4,4,4,4,4,4,2014-09,1.93,8.03
5,5,5,5,5,5,5,5,5,5,5,2015-09,2.89,10.17
6,6,6,6,6,6,6,6,6,6,6,2016-09,5.01,5.37
7,7,7,7,7,7,7,7,7,7,7,2017-09,2.37,22.65
8,8,8,8,8,8,8,8,8,8,8,2018-09,5.36,11.1
9,9,9,9,9,9,9,9,9,9,9,2019-09,3.54,12.86
10,10,10,10,10,10,10,10,10,10,10,TTM,0.0,13.43
