,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,FCFPS,ROIC
0,0,0,0,0,0,0,0,0,0,0,2010-12,0.89,18.63
1,1,1,1,1,1,1,1,1,1,1,2011-12,1.29,16.67
2,2,2,2,2,2,2,2,2,2,2,2012-12,1.66,15.37
3,3,3,3,3,3,3,3,3,3,3,2013-12,1.93,14.73
4,4,4,4,4,4,4,4,4,4,4,2014-12,1.87,14.25
5,5,5,5,5,5,5,5,5,5,5,2015-12,2.54,13.76
6,6,6,6,6,6,6,6,6,6,6,2016-12,2.77,13.62
7,7,7,7,7,7,7,7,7,7,7,2017-12,2.71,9.76
8,8,8,8,8,8,8,8,8,8,8,2018-12,2.81,16.97
9,9,9,9,9,9,9,9,9,9,9,2019-12,3.67,15.85
10,10,10,10,10,10,10,10,10,10,10,TTM,0.0,15.85
