,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,FCFPS,ROIC
0,0,0,0,0,0,0,0,0,0,2010-08,0.0,0.0
1,1,1,1,1,1,1,1,1,1,2011-08,0.0,0.0
2,2,2,2,2,2,2,2,2,2,2012-08,0.0,-29.57
3,3,3,3,3,3,3,3,3,3,2013-08,0.0,-15.48
4,4,4,4,4,4,4,4,4,4,2014-08,0.0,-61.43
5,5,5,5,5,5,5,5,5,5,2015-05,-0.22,-98.81
6,6,6,6,6,6,6,6,6,6,2016-05,-0.08,0.79
7,7,7,7,7,7,7,7,7,7,2017-05,-0.26,1.86
8,8,8,8,8,8,8,8,8,8,2018-05,-0.94,3.37
9,9,9,9,9,9,9,9,9,9,2019-05,-0.86,-1.26
10,10,10,10,10,10,10,10,10,10,TTM,0.0,-3.71
