,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,FCFPS,ROIC
0,0,0,0,0,0,0,0,0,0,2009-12,0.0,0.0
1,1,1,1,1,1,1,1,1,1,2010-12,0.0,0.94
2,2,2,2,2,2,2,2,2,2,2011-12,0.0,4.09
3,3,3,3,3,3,3,3,3,3,2012-12,0.0,4.72
4,4,4,4,4,4,4,4,4,4,2013-12,0.0,7.71
5,5,5,5,5,5,5,5,5,5,2014-12,0.0,0.26
6,6,6,6,6,6,6,6,6,6,2015-12,1.22,3.18
7,7,7,7,7,7,7,7,7,7,2016-12,1.37,3.4
8,8,8,8,8,8,8,8,8,8,2017-12,1.41,3.78
9,9,9,9,9,9,9,9,9,9,2018-12,1.43,4.29
10,10,10,10,10,10,10,10,10,10,TTM,0.0,3.7
