,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,FCFPS,ROIC
0,0,0,0,0,0,0,0,0,0,2009-12,0.0,0.0
1,1,1,1,1,1,1,1,1,1,2010-12,0.0,0.0
2,2,2,2,2,2,2,2,2,2,2011-12,-25.59,-10.34
3,3,3,3,3,3,3,3,3,3,2012-12,0.81,-0.58
4,4,4,4,4,4,4,4,4,4,2013-12,-3.52,-6.59
5,5,5,5,5,5,5,5,5,5,2014-12,-17.52,-1.05
6,6,6,6,6,6,6,6,6,6,2015-12,-13.18,-2.19
7,7,7,7,7,7,7,7,7,7,2016-12,-33.96,-2.81
8,8,8,8,8,8,8,8,8,8,2017-12,-22.37,-1.32
9,9,9,9,9,9,9,9,9,9,2018-12,-21.32,-1.22
10,10,10,10,10,10,10,10,10,10,TTM,0.0,-2.1
