,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,FCFPS,ROIC
0,0,0,0,0,0,0,0,0,0,2010-12,0.0,11.38
1,1,1,1,1,1,1,1,1,1,2011-12,1.59,20.92
2,2,2,2,2,2,2,2,2,2,2012-12,2.39,27.37
3,3,3,3,3,3,3,3,3,3,2013-12,2.31,26.04
4,4,4,4,4,4,4,4,4,4,2014-12,3.63,28.29
5,5,5,5,5,5,5,5,5,5,2015-12,3.75,27.65
6,6,6,6,6,6,6,6,6,6,2016-12,4.25,21.94
7,7,7,7,7,7,7,7,7,7,2017-12,3.41,21.19
8,8,8,8,8,8,8,8,8,8,2018-12,1.58,15.27
9,9,9,9,9,9,9,9,9,9,2019-12,3.37,13.69
10,10,10,10,10,10,10,10,10,10,TTM,0.0,13.69
