,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,FCFPS,ROIC
0,0,0,0,0,0,0,0,0,0,2009-12,0.0,11.85
1,1,1,1,1,1,1,1,1,1,2010-12,0.26,5.7
2,2,2,2,2,2,2,2,2,2,2011-12,0.35,4.74
3,3,3,3,3,3,3,3,3,3,2012-12,-0.09,2.8
4,4,4,4,4,4,4,4,4,4,2013-12,-0.22,2.84
5,5,5,5,5,5,5,5,5,5,2014-12,-0.98,4.44
6,6,6,6,6,6,6,6,6,6,2015-12,-0.11,4.6
7,7,7,7,7,7,7,7,7,7,2016-12,-0.05,4.55
8,8,8,8,8,8,8,8,8,8,2017-12,-0.75,5.1
9,9,9,9,9,9,9,9,9,9,2018-12,0.04,4.18
10,10,10,10,10,10,10,10,10,10,TTM,0.0,6.44
