,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,FCFPS,ROIC
0,0,0,0,0,0,0,0,0,0,2010-09,0.0,0.0
1,1,1,1,1,1,1,1,1,1,2011-09,0.0,0.0
2,2,2,2,2,2,2,2,2,2,2012-09,0.0,0.0
3,3,3,3,3,3,3,3,3,3,2013-09,0.0,0.0
4,4,4,4,4,4,4,4,4,4,2014-09,0.0,0.0
5,5,5,5,5,5,5,5,5,5,2015-09,0.0,-8.95
6,6,6,6,6,6,6,6,6,6,2016-09,0.0,2.64
7,7,7,7,7,7,7,7,7,7,2017-09,0.0,3.41
8,8,8,8,8,8,8,8,8,8,2018-09,-0.22,4.55
9,9,9,9,9,9,9,9,9,9,2019-09,0.03,2.5
10,10,10,10,10,10,10,10,10,10,TTM,0.0,7.73
