,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,FCFPS,ROIC
0,0,0,0,0,0,0,0,0,0,2010-12,0.0,0.0
1,1,1,1,1,1,1,1,1,1,2011-12,0.0,13.46
2,2,2,2,2,2,2,2,2,2,2012-12,0.0,-6.88
3,3,3,3,3,3,3,3,3,3,2013-12,-4.4,1.59
4,4,4,4,4,4,4,4,4,4,2014-12,-1.76,10.68
5,5,5,5,5,5,5,5,5,5,2015-12,-0.06,11.23
6,6,6,6,6,6,6,6,6,6,2016-12,-0.02,-6.44
7,7,7,7,7,7,7,7,7,7,2017-12,3.19,6.49
8,8,8,8,8,8,8,8,8,8,2018-12,2.71,-1.44
9,9,9,9,9,9,9,9,9,9,2019-12,4.7,-2.51
10,10,10,10,10,10,10,10,10,10,TTM,0.0,-2.51
