,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,FCFPS,ROIC
0,0,0,0,0,0,0,0,0,0,2009-12,0.0,0.74
1,1,1,1,1,1,1,1,1,1,2010-12,1.0,-2.26
2,2,2,2,2,2,2,2,2,2,2011-12,0.67,-26.46
3,3,3,3,3,3,3,3,3,3,2012-12,0.38,-9.36
4,4,4,4,4,4,4,4,4,4,2013-12,0.56,-4.8
5,5,5,5,5,5,5,5,5,5,2014-12,0.65,2.35
6,6,6,6,6,6,6,6,6,6,2015-12,0.87,28.47
7,7,7,7,7,7,7,7,7,7,2016-12,0.87,-14.03
8,8,8,8,8,8,8,8,8,8,2017-12,0.96,-7.4
9,9,9,9,9,9,9,9,9,9,2018-12,0.74,3.27
10,10,10,10,10,10,10,10,10,10,TTM,0.0,1.33
