,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,FCFPS,ROIC
0,0,0,0,0,0,0,0,0,0,2010-12,21.76,7.03
1,1,1,1,1,1,1,1,1,1,2011-12,20.87,5.25
2,2,2,2,2,2,2,2,2,2,2012-12,-3.58,-5.91
3,3,3,3,3,3,3,3,3,3,2013-12,-7.87,-4.99
4,4,4,4,4,4,4,4,4,4,2014-12,-15.15,-4.35
5,5,5,5,5,5,5,5,5,5,2015-12,-11.9,-47.83
6,6,6,6,6,6,6,6,6,6,2016-12,-3.42,0.0
7,7,7,7,7,7,7,7,7,7,2017-12,5.74,24.08
8,8,8,8,8,8,8,8,8,8,2018-12,12.92,32.02
9,9,9,9,9,9,9,9,9,9,2019-12,17.02,24.37
10,10,10,10,10,10,10,10,10,10,TTM,0.0,24.37
