,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,FCFPS,ROIC
0,0,0,0,0,0,0,0,0,0,2010-12,-10.28,3.08
1,1,1,1,1,1,1,1,1,1,2011-12,-12.61,2.63
2,2,2,2,2,2,2,2,2,2,2012-12,4.92,1.73
3,3,3,3,3,3,3,3,3,3,2013-12,4.76,2.33
4,4,4,4,4,4,4,4,4,4,2014-12,4.66,1.76
5,5,5,5,5,5,5,5,5,5,2015-12,4.56,2.41
6,6,6,6,6,6,6,6,6,6,2016-12,5.25,-0.62
7,7,7,7,7,7,7,7,7,7,2017-12,5.18,2.25
8,8,8,8,8,8,8,8,8,8,2018-12,5.03,4.06
9,9,9,9,9,9,9,9,9,9,2019-12,6.0,3.3
10,10,10,10,10,10,10,10,10,10,TTM,0.0,3.3
