,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,FCFPS,ROIC
0,0,0,0,0,0,0,0,0,0,2009-12,0.0,0.17
1,1,1,1,1,1,1,1,1,1,2010-12,-6.33,-2.2
2,2,2,2,2,2,2,2,2,2,2011-12,-9.43,2.88
3,3,3,3,3,3,3,3,3,3,2012-12,-2.01,3.05
4,4,4,4,4,4,4,4,4,4,2013-12,-0.38,6.14
5,5,5,5,5,5,5,5,5,5,2014-12,-2.96,5.09
6,6,6,6,6,6,6,6,6,6,2015-12,-4.05,1.8
7,7,7,7,7,7,7,7,7,7,2016-12,1.43,2.06
8,8,8,8,8,8,8,8,8,8,2017-12,-2.26,1.8
9,9,9,9,9,9,9,9,9,9,2018-12,-1.86,23.85
10,10,10,10,10,10,10,10,10,10,TTM,0.0,15.47
