,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,FCFPS,ROIC
0,0,0,0,0,0,0,0,0,0,2010-09,0.0,0.0
1,1,1,1,1,1,1,1,1,1,2011-09,0.0,0.0
2,2,2,2,2,2,2,2,2,2,2012-09,0.0,7.08
3,3,3,3,3,3,3,3,3,3,2013-09,0.0,5.85
4,4,4,4,4,4,4,4,4,4,2014-09,0.28,5.24
5,5,5,5,5,5,5,5,5,5,2015-09,-0.08,6.01
6,6,6,6,6,6,6,6,6,6,2016-09,1.48,6.78
7,7,7,7,7,7,7,7,7,7,2017-09,0.53,7.59
8,8,8,8,8,8,8,8,8,8,2018-09,-0.2,9.1
9,9,9,9,9,9,9,9,9,9,2019-09,-6.74,7.0
10,10,10,10,10,10,10,10,10,10,TTM,0.0,3.18
