,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,FCFPS,ROIC
0,0,0,0,0,0,0,0,0,0,2009-12,0.0,-11.1
1,1,1,1,1,1,1,1,1,1,2010-12,2.07,-0.16
2,2,2,2,2,2,2,2,2,2,2011-12,-0.89,-5.86
3,3,3,3,3,3,3,3,3,3,2012-12,-0.61,1.42
4,4,4,4,4,4,4,4,4,4,2013-12,1.0,6.39
5,5,5,5,5,5,5,5,5,5,2014-12,-0.89,4.89
6,6,6,6,6,6,6,6,6,6,2015-12,-1.33,-1.36
7,7,7,7,7,7,7,7,7,7,2016-12,2.51,0.25
8,8,8,8,8,8,8,8,8,8,2017-12,0.46,3.29
9,9,9,9,9,9,9,9,9,9,2018-12,-0.94,4.28
10,10,10,10,10,10,10,10,10,10,TTM,0.0,6.01
