,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,FCFPS,ROIC
0,0,0,0,0,0,0,0,0,0,2010-12,0.91,11.37
1,1,1,1,1,1,1,1,1,1,2011-12,2.73,12.65
2,2,2,2,2,2,2,2,2,2,2012-12,5.07,10.01
3,3,3,3,3,3,3,3,3,3,2013-12,2.86,7.73
4,4,4,4,4,4,4,4,4,4,2014-12,3.1,9.19
5,5,5,5,5,5,5,5,5,5,2015-12,4.35,9.3
6,6,6,6,6,6,6,6,6,6,2016-12,5.51,9.2
7,7,7,7,7,7,7,7,7,7,2017-12,0.32,6.48
8,8,8,8,8,8,8,8,8,8,2018-12,-0.3,10.4
9,9,9,9,9,9,9,9,9,9,2019-12,5.44,-0.67
10,10,10,10,10,10,10,10,10,10,TTM,0.0,-0.67
