,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,FCFPS,ROIC
0,0,0,0,0,0,0,0,0,0,2009-12,0.0,2.74
1,1,1,1,1,1,1,1,1,1,2010-12,0.56,-1.54
2,2,2,2,2,2,2,2,2,2,2011-12,0.36,8.46
3,3,3,3,3,3,3,3,3,3,2012-12,0.55,8.39
4,4,4,4,4,4,4,4,4,4,2013-12,1.55,9.49
5,5,5,5,5,5,5,5,5,5,2014-12,1.57,8.18
6,6,6,6,6,6,6,6,6,6,2015-12,1.74,8.83
7,7,7,7,7,7,7,7,7,7,2016-12,2.67,7.68
8,8,8,8,8,8,8,8,8,8,2017-12,3.13,11.69
9,9,9,9,9,9,9,9,9,9,2018-12,4.79,10.45
10,10,10,10,10,10,10,10,10,10,TTM,0.0,9.42
