,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,FCFPS,ROIC
0,0,0,0,0,0,0,0,0,0,2010-09,3.94,9.45
1,1,1,1,1,1,1,1,1,1,2011-09,0.55,7.52
2,2,2,2,2,2,2,2,2,2,2012-09,0.11,2.36
3,3,3,3,3,3,3,3,3,3,2013-09,4.41,11.33
4,4,4,4,4,4,4,4,4,4,2014-09,5.35,4.56
5,5,5,5,5,5,5,5,5,5,2015-09,0.71,6.58
6,6,6,6,6,6,6,6,6,6,2016-09,5.18,1.22
7,7,7,7,7,7,7,7,7,7,2017-09,3.5,3.32
8,8,8,8,8,8,8,8,8,8,2018-09,0.5,3.87
9,9,9,9,9,9,9,9,9,9,2019-09,1.49,10.5
10,10,10,10,10,10,10,10,10,10,TTM,0.0,11.77
