,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,FCFPS,ROIC
0,0,0,0,0,0,0,0,0,0,2009-12,0.0,5.2
1,1,1,1,1,1,1,1,1,1,2010-12,3.05,8.4
2,2,2,2,2,2,2,2,2,2,2011-12,3.62,9.87
3,3,3,3,3,3,3,3,3,3,2012-12,5.24,12.25
4,4,4,4,4,4,4,4,4,4,2013-12,4.49,12.51
5,5,5,5,5,5,5,5,5,5,2014-12,4.74,10.98
6,6,6,6,6,6,6,6,6,6,2015-12,3.54,12.47
7,7,7,7,7,7,7,7,7,7,2016-12,2.68,13.97
8,8,8,8,8,8,8,8,8,8,2017-12,3.44,17.31
9,9,9,9,9,9,9,9,9,9,2018-12,11.25,12.99
10,10,10,10,10,10,10,10,10,10,TTM,0.0,14.4
