,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,FCFPS,ROIC
0,0,0,0,0,0,0,0,0,0,2009-12,0.0,5.99
1,1,1,1,1,1,1,1,1,1,2010-12,0.05,13.2
2,2,2,2,2,2,2,2,2,2,2011-12,0.11,8.83
3,3,3,3,3,3,3,3,3,3,2012-12,-0.2,7.78
4,4,4,4,4,4,4,4,4,4,2013-12,-0.01,8.22
5,5,5,5,5,5,5,5,5,5,2014-12,0.25,10.19
6,6,6,6,6,6,6,6,6,6,2015-12,0.07,8.4
7,7,7,7,7,7,7,7,7,7,2016-12,0.39,8.59
8,8,8,8,8,8,8,8,8,8,2017-12,0.36,9.11
9,9,9,9,9,9,9,9,9,9,2018-12,0.15,8.83
10,10,10,10,10,10,10,10,10,10,TTM,0.0,4.07
