,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,FCFPS,ROIC
0,0,0,0,0,0,0,0,0,0,2009-12,0.0,3.41
1,1,1,1,1,1,1,1,1,1,2010-12,0.54,1.65
2,2,2,2,2,2,2,2,2,2,2011-12,-0.42,-0.06
3,3,3,3,3,3,3,3,3,3,2012-12,1.41,-4.08
4,4,4,4,4,4,4,4,4,4,2013-12,1.48,-1.15
5,5,5,5,5,5,5,5,5,5,2014-12,0.35,-7.04
6,6,6,6,6,6,6,6,6,6,2015-12,0.62,-3.5
7,7,7,7,7,7,7,7,7,7,2016-12,0.85,-10.84
8,8,8,8,8,8,8,8,8,8,2017-12,1.31,-10.78
9,9,9,9,9,9,9,9,9,9,2018-12,0.95,0.0
10,10,10,10,10,10,10,10,10,10,TTM,0.0,0.0
