,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,FCFPS,ROIC
0,0,0,0,0,0,0,0,0,0,2009-12,0.0,0.0
1,1,1,1,1,1,1,1,1,1,2010-12,0.0,0.0
2,2,2,2,2,2,2,2,2,2,2011-12,0.0,0.0
3,3,3,3,3,3,3,3,3,3,2012-12,0.0,0.0
4,4,4,4,4,4,4,4,4,4,2013-12,0.0,0.0
5,5,5,5,5,5,5,5,5,5,2014-12,-0.39,-77.56
6,6,6,6,6,6,6,6,6,6,2015-12,-0.2,-44.76
7,7,7,7,7,7,7,7,7,7,2016-12,0.17,-24.44
8,8,8,8,8,8,8,8,8,8,2017-12,0.03,-12.2
9,9,9,9,9,9,9,9,9,9,2018-12,-0.07,-28.13
10,10,10,10,10,10,10,10,10,10,TTM,0.0,-19.91
