,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,FCFPS,ROIC
0,0,0,0,0,0,0,0,0,0,2010-06,3.6,26.55
1,1,1,1,1,1,1,1,1,1,2011-06,3.86,25.71
2,2,2,2,2,2,2,2,2,2,2012-06,2.06,10.4
3,3,3,3,3,3,3,3,3,3,2013-06,1.36,7.86
4,4,4,4,4,4,4,4,4,4,2014-06,2.49,9.26
5,5,5,5,5,5,5,5,5,5,2015-06,1.77,9.16
6,6,6,6,6,6,6,6,6,6,2016-06,2.14,0.0
7,7,7,7,7,7,7,7,7,7,2017-06,2.04,7.21
8,8,8,8,8,8,8,8,8,8,2018-06,2.69,2.23
9,9,9,9,9,9,9,9,9,9,2019-06,1.94,5.97
10,10,10,10,10,10,10,10,10,10,TTM,0.0,6.54
