,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,FCFPS,ROIC
0,0,0,0,0,0,0,0,0,0,2009-12,0.0,1.59
1,1,1,1,1,1,1,1,1,1,2010-12,-1.94,3.55
2,2,2,2,2,2,2,2,2,2,2011-12,-0.51,7.76
3,3,3,3,3,3,3,3,3,3,2012-12,0.39,3.99
4,4,4,4,4,4,4,4,4,4,2013-12,-1.12,3.5
5,5,5,5,5,5,5,5,5,5,2014-12,-2.54,-0.06
6,6,6,6,6,6,6,6,6,6,2015-12,0.33,-9.81
7,7,7,7,7,7,7,7,7,7,2016-12,-2.88,-18.82
8,8,8,8,8,8,8,8,8,8,2017-12,-0.91,-2.82
9,9,9,9,9,9,9,9,9,9,2018-12,0.39,6.63
10,10,10,10,10,10,10,10,10,10,TTM,0.0,6.68
