,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,FCFPS,ROIC
0,0,0,0,0,0,0,0,0,0,2010-09,1.99,6.77
1,1,1,1,1,1,1,1,1,1,2011-09,-0.44,6.64
2,2,2,2,2,2,2,2,2,2,2012-09,-1.63,6.49
3,3,3,3,3,3,3,3,3,3,2013-09,-2.63,6.27
4,4,4,4,4,4,4,4,4,4,2014-09,-0.85,6.61
5,5,5,5,5,5,5,5,5,5,2015-09,-1.21,6.52
6,6,6,6,6,6,6,6,6,6,2016-09,-3.5,6.6
7,7,7,7,7,7,7,7,7,7,2017-09,-1.88,6.87
8,8,8,8,8,8,8,8,8,8,2018-09,-2.34,8.94
9,9,9,9,9,9,9,9,9,9,2019-09,-5.89,6.49
10,10,10,10,10,10,10,10,10,10,TTM,0.0,6.29
