,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,FCFPS,ROIC
0,0,0,0,0,0,0,0,0,0,2009-12,0.0,8.86
1,1,1,1,1,1,1,1,1,1,2010-12,2.04,11.23
2,2,2,2,2,2,2,2,2,2,2011-12,1.45,11.39
3,3,3,3,3,3,3,3,3,3,2012-12,2.04,9.81
4,4,4,4,4,4,4,4,4,4,2013-12,2.34,9.69
5,5,5,5,5,5,5,5,5,5,2014-12,1.82,10.34
6,6,6,6,6,6,6,6,6,6,2015-12,3.11,11.19
7,7,7,7,7,7,7,7,7,7,2016-12,2.46,11.22
8,8,8,8,8,8,8,8,8,8,2017-12,3.6,10.5
9,9,9,9,9,9,9,9,9,9,2018-12,1.35,8.08
10,10,10,10,10,10,10,10,10,10,TTM,0.0,9.23
