,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,FCFPS,ROIC
0,0,0,0,0,0,0,0,0,0,2009-12,0.0,5.04
1,1,1,1,1,1,1,1,1,1,2010-12,-0.97,-3.27
2,2,2,2,2,2,2,2,2,2,2011-12,-0.96,1.97
3,3,3,3,3,3,3,3,3,3,2012-12,-4.47,-10.72
4,4,4,4,4,4,4,4,4,4,2013-12,-4.91,-25.31
5,5,5,5,5,5,5,5,5,5,2014-12,-0.23,-39.0
6,6,6,6,6,6,6,6,6,6,2015-12,-11.37,-30.41
7,7,7,7,7,7,7,7,7,7,2016-12,-5.93,2.23
8,8,8,8,8,8,8,8,8,8,2017-12,-5.51,12.88
9,9,9,9,9,9,9,9,9,9,2018-12,-3.59,38.78
10,10,10,10,10,10,10,10,10,10,TTM,0.0,13.43
