,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,FCFPS,ROIC
0,0,0,0,0,0,0,0,0,0,2009-12,0.0,-16.52
1,1,1,1,1,1,1,1,1,1,2010-12,0.18,2.75
2,2,2,2,2,2,2,2,2,2,2011-12,2.82,20.33
3,3,3,3,3,3,3,3,3,3,2012-12,-0.32,11.1
4,4,4,4,4,4,4,4,4,4,2013-12,-1.8,-24.92
5,5,5,5,5,5,5,5,5,5,2014-12,0.85,1.45
6,6,6,6,6,6,6,6,6,6,2015-12,0.13,-1.78
7,7,7,7,7,7,7,7,7,7,2016-12,1.14,1.25
8,8,8,8,8,8,8,8,8,8,2017-12,0.5,-1.37
9,9,9,9,9,9,9,9,9,9,2018-12,0.64,4.99
10,10,10,10,10,10,10,10,10,10,TTM,0.0,6.58
