,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,FCFPS,ROIC
0,0,0,0,0,0,0,0,0,0,2009-12,0.0,3.05
1,1,1,1,1,1,1,1,1,1,2010-12,0.18,6.4
2,2,2,2,2,2,2,2,2,2,2011-12,0.48,7.07
3,3,3,3,3,3,3,3,3,3,2012-12,-0.51,5.41
4,4,4,4,4,4,4,4,4,4,2013-12,-0.45,-5.27
5,5,5,5,5,5,5,5,5,5,2014-12,-0.37,-15.75
6,6,6,6,6,6,6,6,6,6,2015-12,-0.04,-26.86
7,7,7,7,7,7,7,7,7,7,2016-12,0.36,-3.98
8,8,8,8,8,8,8,8,8,8,2017-12,-0.12,-2.47
9,9,9,9,9,9,9,9,9,9,2018-12,-0.09,-3.91
10,10,10,10,10,10,10,10,10,10,TTM,0.0,3.8
