,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,FCFPS,ROIC
0,0,0,0,0,0,0,0,0,0,2009-12,0.0,3.72
1,1,1,1,1,1,1,1,1,1,2010-12,-1.54,2.43
2,2,2,2,2,2,2,2,2,2,2011-12,-2.88,5.71
3,3,3,3,3,3,3,3,3,3,2012-12,5.25,4.51
4,4,4,4,4,4,4,4,4,4,2013-12,5.02,2.77
5,5,5,5,5,5,5,5,5,5,2014-12,6.5,4.5
6,6,6,6,6,6,6,6,6,6,2015-12,7.34,4.65
7,7,7,7,7,7,7,7,7,7,2016-12,7.68,6.16
8,8,8,8,8,8,8,8,8,8,2017-12,8.19,5.01
9,9,9,9,9,9,9,9,9,9,2018-12,8.79,5.49
10,10,10,10,10,10,10,10,10,10,TTM,0.0,5.53
