,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,FCFPS,ROIC
0,0,0,0,0,0,0,0,0,0,2009-12,0.0,0.0
1,1,1,1,1,1,1,1,1,1,2010-12,0.0,0.0
2,2,2,2,2,2,2,2,2,2,2011-12,0.0,0.0
3,3,3,3,3,3,3,3,3,3,2012-12,0.0,7.1
4,4,4,4,4,4,4,4,4,4,2013-12,0.0,5.79
5,5,5,5,5,5,5,5,5,5,2014-12,2.42,1.2
6,6,6,6,6,6,6,6,6,6,2015-12,0.7,-21.65
7,7,7,7,7,7,7,7,7,7,2016-12,2.96,3.8
8,8,8,8,8,8,8,8,8,8,2017-12,1.84,5.5
9,9,9,9,9,9,9,9,9,9,2018-12,-2.51,4.31
10,10,10,10,10,10,10,10,10,10,TTM,0.0,-2.42
