,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,FCFPS,ROIC
0,0,0,0,0,0,0,0,0,0,2010-03,1.01,7.9
1,1,1,1,1,1,1,1,1,1,2011-03,0.73,12.46
2,2,2,2,2,2,2,2,2,2,2012-03,0.59,7.1
3,3,3,3,3,3,3,3,3,3,2013-03,0.77,-3.29
4,4,4,4,4,4,4,4,4,4,2014-03,0.04,6.22
5,5,5,5,5,5,5,5,5,5,2015-03,0.46,10.71
6,6,6,6,6,6,6,6,6,6,2016-03,0.56,4.55
7,7,7,7,7,7,7,7,7,7,2017-03,0.98,5.48
8,8,8,8,8,8,8,8,8,8,2018-03,0.65,-0.2
9,9,9,9,9,9,9,9,9,9,2019-03,0.6,11.15
10,10,10,10,10,10,10,10,10,10,TTM,0.0,7.93
