,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,FCFPS,ROIC
0,0,0,0,0,0,0,0,0,0,2009-12,0.0,-19.18
1,1,1,1,1,1,1,1,1,1,2010-12,3.54,12.93
2,2,2,2,2,2,2,2,2,2,2011-12,1.75,8.15
3,3,3,3,3,3,3,3,3,3,2012-12,3.47,9.34
4,4,4,4,4,4,4,4,4,4,2013-12,2.22,9.6
5,5,5,5,5,5,5,5,5,5,2014-12,2.41,12.35
6,6,6,6,6,6,6,6,6,6,2015-12,3.37,14.85
7,7,7,7,7,7,7,7,7,7,2016-12,4.19,17.02
8,8,8,8,8,8,8,8,8,8,2017-12,4.35,13.19
9,9,9,9,9,9,9,9,9,9,2018-12,2.27,18.63
10,10,10,10,10,10,10,10,10,10,TTM,0.0,9.8
