,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,FCFPS,ROIC
0,0,0,0,0,0,0,0,2009-12,0.0,6.71
1,1,1,1,1,1,1,1,2010-12,-0.67,6.43
2,2,2,2,2,2,2,2,2011-12,-0.15,8.15
3,3,3,3,3,3,3,3,2012-12,0.87,8.65
4,4,4,4,4,4,4,4,2013-12,0.75,9.43
5,5,5,5,5,5,5,5,2014-12,1.83,8.86
6,6,6,6,6,6,6,6,2015-12,1.33,8.81
7,7,7,7,7,7,7,7,2016-12,-1.11,8.44
8,8,8,8,8,8,8,8,2017-12,0.86,9.06
9,9,9,9,9,9,9,9,2018-12,0.28,8.38
10,10,10,10,10,10,10,10,TTM,0.0,9.49
