,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,FCFPS,ROIC
0,0,0,0,0,0,0,2010-02,1.66,36.46
1,1,1,1,1,1,1,2011-02,4.48,41.24
2,2,2,2,2,2,2,2012-02,-0.39,12.23
3,3,3,3,3,3,3,2013-02,1.57,-6.61
4,4,4,4,4,4,4,2014-02,-1.52,-71.89
5,5,5,5,5,5,5,2015-02,-1.3,-5.85
6,6,6,6,6,6,6,2016-02,0.56,-4.32
7,7,7,7,7,7,7,2017-02,-0.61,-33.81
8,8,8,8,8,8,8,2018-02,1.51,13.65
9,9,9,9,9,9,9,2019-02,-0.22,2.82
10,10,10,10,10,10,10,TTM,0.0,-1.68
