,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,FCFPS,ROIC
0,0,0,0,0,0,0,2008-12,0.0,0.0
1,1,1,1,1,1,1,2009-12,0.0,0.0
2,2,2,2,2,2,2,2010-12,0.0,0.0
3,3,3,3,3,3,3,2011-12,0.0,2.86
4,4,4,4,4,4,4,2012-12,-440.95,7.71
5,5,5,5,5,5,5,2013-12,-508.59,8.48
6,6,6,6,6,6,6,2014-12,-1031.53,3.49
7,7,7,7,7,7,7,2015-12,-1086.81,-52.08
8,8,8,8,8,8,8,2016-12,-400.17,-22.41
9,9,9,9,9,9,9,2018-12,-1.45,20.58
10,10,10,10,10,10,10,TTM,0.0,18.29
