,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,FCFPS,ROIC
0,0,0,0,0,0,0,0,0,0,0,2009-12,0.0,2.26
1,1,1,1,1,1,1,1,1,1,1,2010-12,0.81,4.55
2,2,2,2,2,2,2,2,2,2,2,2011-12,2.9,0.68
3,3,3,3,3,3,3,3,3,3,3,2012-12,2.57,5.98
4,4,4,4,4,4,4,4,4,4,4,2013-12,2.42,5.02
5,5,5,5,5,5,5,5,5,5,5,2014-12,1.78,4.43
6,6,6,6,6,6,6,6,6,6,6,2015-12,1.79,4.12
7,7,7,7,7,7,7,7,7,7,7,2016-12,0.72,2.72
8,8,8,8,8,8,8,8,8,8,8,2017-12,1.54,6.05
9,9,9,9,9,9,9,9,9,9,9,2018-12,1.93,5.14
10,10,10,10,10,10,10,10,10,10,10,TTM,0.0,4.74
