,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,FCFPS,ROIC
0,0,0,0,0,0,0,2010-07,-0.5,-20.8
1,1,1,1,1,1,1,2011-07,-0.19,-13.96
2,2,2,2,2,2,2,2012-07,-0.19,-56.99
3,3,3,3,3,3,3,2013-07,-0.24,-39.66
4,4,4,4,4,4,4,2014-07,-0.12,-25.08
5,5,5,5,5,5,5,2015-07,-0.19,-5.24
6,6,6,6,6,6,6,2016-07,0.42,65.54
7,7,7,7,7,7,7,2017-07,0.7,-2.78
8,8,8,8,8,8,8,2018-07,-0.02,-12.08
9,9,9,9,9,9,9,2019-07,-0.04,2.89
10,10,10,10,10,10,10,TTM,0.0,0.78
